1,46,1694.34,839.09,36.99000000000001,41.25999999999999,1,1,1.0
1,47,984.11,609.0,25.860000000000014,29.5,1,1,1.0
1,48,1189.35,611.69,26.410000000000082,30.25,1,1,1.0
1,49,422.46,791.74,34.01000000000005,37.01999999999998,1,1,1.0
1,50,1069.16,442.35,16.919999999999845,18.299999999999955,1,2,1.0
1,51,1240.72,590.78,28.049999999999955,31.779999999999973,1,2,1.0
1,52,1059.79,611.3,26.559999999999945,33.33000000000004,1,1,1.0
1,53,1265.0,443.0,14.0,17.0,1,1,1.0
1,54,1234.2,448.03,17.720000000000027,19.79000000000002,1,1,1.0
1,55,1522.51,514.79,15.900000000000091,17.980000000000018,1,1,1.0
1,56,1453.67,598.39,24.929999999999836,29.129999999999995,1,1,1.0
1,57,836.0,530.0,20.0,24.0,1,1,1.0
1,58,802.62,488.36,17.50999999999999,19.079999999999984,1,1,1.0
1,59,1027.71,572.55,24.539999999999964,28.470000000000027,1,1,1.0
1,60,1454.88,515.1,18.62999999999988,19.329999999999927,1,2,1.0
1,61,751.0,474.0,21.0,23.0,1,1,1.0
1,62,935.51,542.21,23.190000000000055,26.25,1,1,1.0
1,63,887.73,534.14,19.49000000000001,23.620000000000005,1,1,1.0
1,64,977.0,566.0,22.0,25.0,1,1,1.0
1,65,1206.58,571.86,24.25999999999999,26.879999999999995,1,2,1.0
1,66,1634.1,682.21,27.2800000000002,29.980000000000018,1,1,1.0
1,67,1689.43,673.38,30.220000000000027,33.90999999999997,1,1,1.0
1,68,375.82,818.66,40.85000000000002,44.55000000000007,1,1,1.0
1,69,230.43,817.35,36.46999999999997,42.299999999999955,1,1,1.0
1,70,1086.85,595.13,24.050000000000182,27.779999999999973,1,1,1.0
1,71,968.87,521.34,22.559999999999945,25.67999999999995,1,1,1.0
1,72,830.37,456.64,17.620000000000005,18.980000000000018,1,1,1.0
1,73,782.0,450.0,22.0,22.0,1,1,1.0
1,74,786.19,694.86,29.629999999999995,35.34000000000003,1,1,1.0
1,75,714.46,686.33,28.699999999999932,31.779999999999973,1,1,1.0
1,76,1385.94,1023.37,57.25,53.30000000000007,1,1,1.0
1,77,1112.91,544.0,21.74000000000001,24.590000000000032,1,1,1.0
1,78,1499.61,645.45,22.54000000000019,25.339999999999918,1,1,1.0
1,79,1082.43,515.19,21.230000000000018,23.59999999999991,1,1,1.0
1,80,1032.48,517.93,15.329999999999927,21.379999999999995,1,1,1.0
1,81,1018.92,513.22,17.33000000000004,19.899999999999977,1,1,1.0
1,82,891.0,474.0,21.0,23.0,1,1,1.0
1,83,829.0,474.0,19.0,20.0,1,1,1.0
1,84,899.0,450.0,19.0,23.0,1,1,1.0
1,85,412.69,658.37,14.800000000000011,20.379999999999995,1,3,1.0
2,46,1694.34,839.09,36.99000000000001,41.25999999999999,1,1,1.0
2,47,984.11,609.0,25.860000000000014,29.5,1,1,1.0
2,48,1189.35,611.69,26.410000000000082,30.25,1,1,1.0
2,49,422.46,791.74,34.01000000000005,37.01999999999998,1,1,1.0
2,50,1069.16,442.35,16.919999999999845,18.299999999999955,1,2,1.0
2,51,1240.72,590.78,28.049999999999955,31.779999999999973,1,2,1.0
2,52,1059.79,611.3,26.559999999999945,33.33000000000004,1,1,1.0
2,53,1265.0,443.0,14.0,17.0,1,1,1.0
2,54,1234.2,448.03,17.720000000000027,19.79000000000002,1,1,1.0
2,55,1522.51,514.79,15.900000000000091,17.980000000000018,1,1,1.0
2,56,1453.67,598.39,24.929999999999836,29.129999999999995,1,1,1.0
2,57,836.0,530.0,20.0,24.0,1,1,1.0
2,58,802.62,488.36,17.50999999999999,19.079999999999984,1,1,1.0
2,59,1027.71,572.55,24.539999999999964,28.470000000000027,1,1,1.0
2,60,1454.88,515.1,18.62999999999988,19.329999999999927,1,2,1.0
2,61,751.0,474.0,21.0,23.0,1,1,1.0
2,62,935.51,542.21,23.190000000000055,26.25,1,1,1.0
2,63,887.73,534.14,19.49000000000001,23.620000000000005,1,1,1.0
2,64,977.0,566.0,22.0,25.0,1,1,1.0
2,65,1206.58,571.86,24.25999999999999,26.879999999999995,1,2,1.0
2,66,1634.1,682.21,27.2800000000002,29.980000000000018,1,1,1.0
2,67,1689.43,673.38,30.220000000000027,33.90999999999997,1,1,1.0
2,68,375.82,818.66,40.85000000000002,44.55000000000007,1,1,1.0
2,69,230.43,817.35,36.46999999999997,42.299999999999955,1,1,1.0
2,70,1086.85,595.13,24.050000000000182,27.779999999999973,1,1,1.0
2,71,968.87,521.34,22.559999999999945,25.67999999999995,1,1,1.0
2,72,830.37,456.64,17.620000000000005,18.980000000000018,1,1,1.0
2,73,782.0,450.0,22.0,22.0,1,1,1.0
2,74,786.19,694.86,29.629999999999995,35.34000000000003,1,1,1.0
2,75,714.46,686.33,28.699999999999932,31.779999999999973,1,1,1.0
2,76,1390.63,1026.82,57.25,50.930000000000064,1,1,1.0
2,77,1112.91,544.0,21.74000000000001,24.590000000000032,1,1,1.0
2,78,1499.61,645.45,22.54000000000019,25.339999999999918,1,1,1.0
2,79,1083.51,515.86,21.230000000000018,23.600000000000023,1,1,1.0
2,80,1033.47,519.75,15.329999999999927,21.379999999999995,1,1,1.0
2,81,1018.92,513.22,17.33000000000004,19.899999999999977,1,1,1.0
2,82,891.0,474.0,21.0,23.0,1,1,1.0
2,83,829.0,474.0,19.0,20.0,1,1,1.0
2,84,899.0,450.0,19.0,23.0,1,1,1.0
2,85,413.07,659.09,14.800000000000011,20.379999999999995,1,3,1.0
